,city,state,address,geom,latitude,longitude
0,Shelton,WA,"Shelton,WA,USA","(47.2150945, -123.1007066)",47.2150945,-123.1007066
1,Aloha,OR,"Aloha,OR,USA","(45.4942838, -122.8670451)",45.4942838,-122.8670451
2,Wichita,KS,"Wichita,KS,USA","(37.6922361, -97.3375448)",37.6922361,-97.3375448
3,San Francisco,CA,"San Francisco,CA,USA","(37.7790262, -122.4199061)",37.7790262,-122.4199061
4,Evans,CO,"Evans,CO,USA","(40.3763701, -104.6921874)",40.3763701,-104.6921874
5,Guthrie,OK,"Guthrie,OK,USA","(35.8789231, -97.4252772)",35.8789231,-97.4252772
6,Chandler,AZ,"Chandler,AZ,USA","(33.3062223, -111.8413317)",33.3062223,-111.8413317
7,Assaria,KS,"Assaria,KS,USA","(38.6802826, -97.6044806)",38.6802826,-97.6044806
8,Burlington,IA,"Burlington,IA,USA","(40.8075391, -91.1129234)",40.8075391,-91.1129234
9,Knoxville,PA,"Knoxville,PA,USA","(40.414041, -79.9923717)",40.414041,-79.9923717
10,Stockton,CA,"Stockton,CA,USA","(37.9577016, -121.2907796)",37.9577016,-121.2907796
11,Freeport,TX,"Freeport,TX,USA","(28.9541368, -95.3596617)",28.9541368,-95.3596617
12,Columbus,OH,"Columbus,OH,USA","(39.9622601, -83.0007065)",39.9622601,-83.0007065
13,Des Moines,IA,"Des Moines,IA,USA","(41.5910641, -93.6037149)",41.5910641,-93.6037149
14,New Orleans,LA,"New Orleans,LA,USA","(29.9499323, -90.0701156)",29.9499323,-90.0701156
15,Huntley,MT,"Huntley,MT,USA","(45.899401, -108.3015173)",45.899401,-108.3015173
16,Salt Lake City,UT,"Salt Lake City,UT,USA","(40.7596198, -111.8867975)",40.7596198,-111.8867975
17,Strong,AR,"Strong,AR,USA","(33.1103602, -92.3565792)",33.1103602,-92.3565792
18,Syracuse,UT,"Syracuse,UT,USA","(41.0895938, -112.0638903)",41.0895938,-112.0638903
19,England,AR,"England,AR,USA","(34.5442609, -91.9690285)",34.5442609,-91.9690285
20,El Paso,TX,"El Paso,TX,USA","(31.7754152, -106.4646348)",31.7754152,-106.4646348
21,Arcola,IL,"Arcola,IL,USA","(39.684755, -88.3064367)",39.684755,-88.3064367
22,South Gate,CA,"South Gate,CA,USA","(33.9463456, -118.200981)",33.9463456,-118.200981
23,North Las Vegas,NV,"North Las Vegas,NV,USA","(36.2005843, -115.1215844)",36.2005843,-115.1215844
24,Albuquerque,NM,"Albuquerque,NM,USA","(35.0841034, -106.6509851)",35.0841034,-106.6509851
25,Jourdanton,TX,"Jourdanton,TX,USA","(28.9180294, -98.5464069)",28.9180294,-98.5464069
26,St. Paul,MN,"St. Paul,MN,USA","(44.9504037, -93.1015026)",44.9504037,-93.1015026
27,Franklin County,MO,"Franklin County,MO,USA","(38.4021095, -91.0841241)",38.4021095,-91.0841241
28,Chesapeake,VA,"Chesapeake,VA,USA","(36.7183708, -76.2466798)",36.7183708,-76.2466798
29,Old Bridge,NJ,"Old Bridge,NJ,USA","(40.399178000000006, -74.3409035740521)",40.399178000000006,-74.3409035740521
30,Lake Jackson,TX,"Lake Jackson,TX,USA","(29.0338575, -95.4343859)",29.0338575,-95.4343859
31,Draper,UT,"Draper,UT,USA","(40.5246711, -111.8638226)",40.5246711,-111.8638226
32,Indianapolis,IN,"Indianapolis,IN,USA","(39.7683331, -86.1583502)",39.7683331,-86.1583502
33,Aurora,CO,"Aurora,CO,USA","(39.729432, -104.8319196)",39.729432,-104.8319196
34,Bloomington,MN,"Bloomington,MN,USA","(44.8322405, -93.3204872)",44.8322405,-93.3204872
35,Fairfield,CA,"Fairfield,CA,USA","(38.2493581, -122.0399663)",38.2493581,-122.0399663
36,Evangeline Parish,LA,"Evangeline Parish,LA,USA","(30.6976776, -92.4217813)",30.6976776,-92.4217813
37,Mabank,TX,"Mabank,TX,USA","(32.3665322, -96.1008056)",32.3665322,-96.1008056
38,Fremont,CA,"Fremont,CA,USA","(37.5482697, -121.9885719)",37.5482697,-121.9885719
39,Muskogee,OK,"Muskogee,OK,USA","(35.6630196, -95.3927706)",35.6630196,-95.3927706
40,Los Angeles,CA,"Los Angeles,CA,USA","(34.0536909, -118.2427666)",34.0536909,-118.2427666
41,Fort Worth,TX,"Fort Worth,TX,USA","(32.753177, -97.3327459)",32.753177,-97.3327459
42,Maricopa,AZ,"Maricopa,AZ,USA","(33.34883, -112.49123)",33.34883,-112.49123
43,Gunlock,KY,"Gunlock,KY,USA","(37.547597, -82.9259979)",37.547597,-82.9259979
44,Weymouth,MA,"Weymouth,MA,USA","(42.2212188, -70.9391625)",42.2212188,-70.9391625
45,Scottsdale,AZ,"Scottsdale,AZ,USA","(33.4942189, -111.9260184)",33.4942189,-111.9260184
