data_year,civilian_ct,female_civilian_ct,female_officer_ct,female_total_ct,male_civilian_ct,male_officer_ct,male_total_ct,population,total_pe_ct,state_id,state_name,state_abbr
1985,490.0,369.0,65.0,434.0,121.0,976.0,1097.0,579424.0,1531.0,1,Alaska,AK
1986,734.0,436.0,74.0,510.0,298.0,957.0,1255.0,534000.0,1765.0,1,Alaska,AK
1987,531.0,349.0,66.0,415.0,182.0,898.0,1080.0,525000.0,1495.0,1,Alaska,AK
1988,583.0,401.0,59.0,460.0,182.0,898.0,1080.0,513000.0,1540.0,1,Alaska,AK
1989,536.0,386.0,55.0,441.0,150.0,889.0,1039.0,527000.0,1480.0,1,Alaska,AK
1990,516.0,397.0,72.0,469.0,119.0,916.0,1035.0,550043.0,1504.0,1,Alaska,AK
1991,614.0,450.0,70.0,520.0,164.0,964.0,1128.0,570000.0,1648.0,1,Alaska,AK
1992,552.0,431.0,70.0,501.0,121.0,954.0,1075.0,587000.0,1576.0,1,Alaska,AK
1993,615.0,448.0,72.0,520.0,167.0,1010.0,1177.0,599000.0,1697.0,1,Alaska,AK
1994,578.0,439.0,75.0,514.0,139.0,998.0,1137.0,606000.0,1651.0,1,Alaska,AK
1995,637.0,457.0,83.0,540.0,180.0,1051.0,1231.0,604000.0,1771.0,1,Alaska,AK
1996,653.0,475.0,84.0,559.0,178.0,1072.0,1250.0,607000.0,1809.0,1,Alaska,AK
1997,444.0,334.0,76.0,410.0,110.0,781.0,891.0,609000.0,1301.0,1,Alaska,AK
1998,659.0,457.0,94.0,551.0,202.0,1019.0,1221.0,614000.0,1772.0,1,Alaska,AK
1999,688.0,495.0,103.0,598.0,193.0,1066.0,1259.0,619000.0,1857.0,1,Alaska,AK
2000,675.0,475.0,103.0,578.0,200.0,1055.0,1255.0,626932.0,1833.0,1,Alaska,AK
2001,661.0,463.0,107.0,570.0,198.0,1097.0,1295.0,634892.0,1865.0,1,Alaska,AK
2002,701.0,482.0,112.0,594.0,219.0,1091.0,1310.0,643893.0,1904.0,1,Alaska,AK
2003,682.0,470.0,111.0,581.0,212.0,1063.0,1275.0,648921.0,1856.0,1,Alaska,AK
2004,688.0,470.0,127.0,597.0,218.0,1125.0,1343.0,655932.0,1940.0,1,Alaska,AK
2005,669.0,468.0,119.0,587.0,201.0,1097.0,1298.0,664150.0,1885.0,1,Alaska,AK
2006,722.0,485.0,126.0,611.0,237.0,1133.0,1370.0,670527.0,1981.0,1,Alaska,AK
