"DATA_YEAR","ORI","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_TYPE_NAME","STATE_ABBR","STATE_NAME","DIVISION_NAME","COUNTY_NAME","REGION_NAME","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","OFFENSE_SUBCAT_ID","OFFENSE_NAME","OFFENSE_SUBCAT_NAME","ACTUAL_COUNT","UNFOUNDED_COUNT","CLEARED_COUNT","JUVENILE_CLEARED_COUNT"
2017,"TX1010000","Harris","","County","TX","Texas","West South Central","HARRIS","South","9A","MSA counties 100,000 or over",81,"Human Trafficking","Commercial Sex Acts",2,0,0,0
2017,"TX1010000","Harris","","County","TX","Texas","West South Central","HARRIS","South","9A","MSA counties 100,000 or over",82,"Human Trafficking","Involuntary Servitude",2,0,0,0
2017,"TXHPD0000","Houston","","City","TX","Texas","West South Central","MONTGOMERY; FORT BEND; HARRIS","South","1A","Cities 1,000,000 or over",81,"Human Trafficking","Commercial Sex Acts",10,0,6,0
2017,"TX1701600","Oak Ridge North","","City","TX","Texas","West South Central","MONTGOMERY","South","6","Cities from 2,500 thru 9,999",81,"Human Trafficking","Commercial Sex Acts",1,0,1,1
2017,"TX1010000","Harris","","County","TX","Texas","West South Central","HARRIS","South","9A","MSA counties 100,000 or over",82,"Human Trafficking","Involuntary Servitude",1,0,0,0
2017,"TX1010000","Harris","","County","TX","Texas","West South Central","HARRIS","South","9A","MSA counties 100,000 or over",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2018,"TXHPD0000","Houston","","City","TX","Texas","West South Central","MONTGOMERY; FORT BEND; HARRIS","South","1A","Cities 1,000,000 or over",81,"Human Trafficking","Commercial Sex Acts",7,0,3,0
2018,"TXHPD0000","Houston","","City","TX","Texas","West South Central","MONTGOMERY; FORT BEND; HARRIS","South","1A","Cities 1,000,000 or over",81,"Human Trafficking","Commercial Sex Acts",7,0,2,0
2017,"TXSPD0000","San Antonio","","City","TX","Texas","West South Central","MEDINA; BEXAR","South","1A","Cities 1,000,000 or over",81,"Human Trafficking","Commercial Sex Acts",2,1,0,0
2018,"MN0271200","Minnetonka","","City","MN","Minnesota","West North Central","HENNEPIN","Midwest","3","Cities from 50,000 thru 99,999",81,"Human Trafficking","Commercial Sex Acts",3,0,3,0
2014,"TXHPD0000","Houston","","City","TX","Texas","West South Central","MONTGOMERY; FORT BEND; HARRIS","South","1A","Cities 1,000,000 or over",82,"Human Trafficking","Involuntary Servitude",2,0,0,0
2014,"TXSPD0000","San Antonio","","City","TX","Texas","West South Central","MEDINA; BEXAR","South","1A","Cities 1,000,000 or over",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2014,"TXDPD0000","Dallas","","City","TX","Texas","West South Central","DENTON; COLLIN; DALLAS","South","1A","Cities 1,000,000 or over",81,"Human Trafficking","Commercial Sex Acts",4,0,1,1
2014,"TXDPD0000","Dallas","","City","TX","Texas","West South Central","DENTON; COLLIN; DALLAS","South","1A","Cities 1,000,000 or over",82,"Human Trafficking","Involuntary Servitude",2,0,0,0
2014,"TXSPD0000","San Antonio","","City","TX","Texas","West South Central","MEDINA; BEXAR","South","1A","Cities 1,000,000 or over",81,"Human Trafficking","Commercial Sex Acts",1,1,0,0
2018,"NV0020100","Las Vegas Metropolitan Police Department","","City","NV","Nevada","Mountain","CLARK","West","1A","Cities 1,000,000 or over",81,"Human Trafficking","Commercial Sex Acts",7,0,5,0
2018,"OK0550600","Oklahoma City","","City","OK","Oklahoma","West South Central","POTTAWATOMIE; CANADIAN; CLEVELAND; OKLAHOMA","South","1B","Cities from 500,000 thru 999,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2018,"OK0550600","Oklahoma City","","City","OK","Oklahoma","West South Central","POTTAWATOMIE; CANADIAN; CLEVELAND; OKLAHOMA","South","1B","Cities from 500,000 thru 999,999",81,"Human Trafficking","Commercial Sex Acts",1,0,1,0
2018,"TXSPD0000","San Antonio","","City","TX","Texas","West South Central","MEDINA; BEXAR","South","1A","Cities 1,000,000 or over",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2018,"TXSPD0000","San Antonio","","City","TX","Texas","West South Central","MEDINA; BEXAR","South","1A","Cities 1,000,000 or over",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2018,"AZ0072300","Phoenix","","City","AZ","Arizona","Mountain","MARICOPA","West","1A","Cities 1,000,000 or over",81,"Human Trafficking","Commercial Sex Acts",4,1,0,0
2017,"TXHPD0000","Houston","","City","TX","Texas","West South Central","MONTGOMERY; FORT BEND; HARRIS","South","1A","Cities 1,000,000 or over",81,"Human Trafficking","Commercial Sex Acts",8,0,4,0
2018,"MN0730400","St. Cloud","","City","MN","Minnesota","West North Central","BENTON; SHERBURNE; STEARNS","Midwest","3","Cities from 50,000 thru 99,999",81,"Human Trafficking","Commercial Sex Acts",1,0,2,0
2016,"LA0090100","Shreveport","","City","LA","Louisiana","West South Central","BOSSIER; CADDO","South","2","Cities from 100,000 thru 249,999",81,"Human Trafficking","Commercial Sex Acts",1,0,1,0
2016,"LA0260000","Jefferson","","County","LA","Louisiana","West South Central","JEFFERSON","South","9A","MSA counties 100,000 or over",81,"Human Trafficking","Commercial Sex Acts",6,0,5,0
2016,"LA0090100","Shreveport","","City","LA","Louisiana","West South Central","BOSSIER; CADDO","South","2","Cities from 100,000 thru 249,999",82,"Human Trafficking","Involuntary Servitude",1,0,1,0
2016,"LA0260000","Jefferson","","County","LA","Louisiana","West South Central","JEFFERSON","South","9A","MSA counties 100,000 or over",81,"Human Trafficking","Commercial Sex Acts",3,0,2,0
2016,"OK0550600","Oklahoma City","","City","OK","Oklahoma","West South Central","POTTAWATOMIE; CANADIAN; CLEVELAND; OKLAHOMA","South","1B","Cities from 500,000 thru 999,999",81,"Human Trafficking","Commercial Sex Acts",3,0,2,0
2016,"TXDPD0000","Dallas","","City","TX","Texas","West South Central","ROCKWALL; DENTON; COLLIN; DALLAS","South","1A","Cities 1,000,000 or over",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2016,"TXHPD0000","Houston","","City","TX","Texas","West South Central","MONTGOMERY; FORT BEND; HARRIS","South","1A","Cities 1,000,000 or over",82,"Human Trafficking","Involuntary Servitude",3,0,1,0
2016,"TXHPD0000","Houston","","City","TX","Texas","West South Central","MONTGOMERY; FORT BEND; HARRIS","South","1A","Cities 1,000,000 or over",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2016,"OK0550600","Oklahoma City","","City","OK","Oklahoma","West South Central","POTTAWATOMIE; CANADIAN; CLEVELAND; OKLAHOMA","South","1B","Cities from 500,000 thru 999,999",81,"Human Trafficking","Commercial Sex Acts",1,0,1,0
2016,"TXDPD0000","Dallas","","City","TX","Texas","West South Central","ROCKWALL; DENTON; COLLIN; DALLAS","South","1A","Cities 1,000,000 or over",82,"Human Trafficking","Involuntary Servitude",1,0,0,0
2016,"TXDPD0000","Dallas","","City","TX","Texas","West South Central","ROCKWALL; DENTON; COLLIN; DALLAS","South","1A","Cities 1,000,000 or over",81,"Human Trafficking","Commercial Sex Acts",1,0,1,0
2016,"TXHPD0000","Houston","","City","TX","Texas","West South Central","MONTGOMERY; FORT BEND; HARRIS","South","1A","Cities 1,000,000 or over",82,"Human Trafficking","Involuntary Servitude",5,0,0,0
2016,"TXHPD0000","Houston","","City","TX","Texas","West South Central","MONTGOMERY; FORT BEND; HARRIS","South","1A","Cities 1,000,000 or over",81,"Human Trafficking","Commercial Sex Acts",2,0,1,0
2016,"TXSPD0000","San Antonio","","City","TX","Texas","West South Central","MEDINA; BEXAR","South","1A","Cities 1,000,000 or over",82,"Human Trafficking","Involuntary Servitude",1,0,0,0
2016,"TXSPD0000","San Antonio","","City","TX","Texas","West South Central","MEDINA; BEXAR","South","1A","Cities 1,000,000 or over",81,"Human Trafficking","Commercial Sex Acts",4,0,2,0
2016,"FL0110000","Collier","","County","FL","Florida","South Atlantic","COLLIER","South","9A","MSA counties 100,000 or over",81,"Human Trafficking","Commercial Sex Acts",3,1,0,0
2016,"FL0110000","Collier","","County","FL","Florida","South Atlantic","COLLIER","South","9A","MSA counties 100,000 or over",82,"Human Trafficking","Involuntary Servitude",1,1,0,0
2016,"FL0130400","Hialeah","","City","FL","Florida","South Atlantic","MIAMI-DADE","South","2","Cities from 100,000 thru 249,999",82,"Human Trafficking","Involuntary Servitude",2,0,2,0
2016,"FL0290000","Hillsborough","","County","FL","Florida","South Atlantic","HILLSBOROUGH","South","9A","MSA counties 100,000 or over",81,"Human Trafficking","Commercial Sex Acts",2,3,2,0
