Armed,Cases
Ax,7
Baseball Bat,3
Baseball Bat And Fireplace Poker,0
Bean-Bag Gun,0
Beer Bottle,0
Blunt Object,0
Box Cutter,3
Brick,0
Carjack,0
Chain,1
Contractor'S Level,0
Cordless Drill,0
Crossbow,3
Flagpole,0
Gun,547
Gun And Knife,8
Guns And Explosives,0
Hammer,0
Hatchet,1
Knife,155
Lawn Mower Blade,1
Machete,11
Meat Cleaver,1
Metal Hand Tool,0
Metal Object,1
Metal Pipe,4
Metal Pole,1
Metal Stick,0
Nail Gun,0
Screwdriver,3
Sharp Object,1
Shovel,0
Stapler,0
Straight Edge Razor,2
Sword,3
Taser,4
Toy Weapon,34
Unarmed,58
Undetermined,12
Unknown Weapon,32
Baton,1
Bayonet,0
Chain Saw,0
Chair,0
Crowbar,0
Flashlight,0
Garden Tool,0
Glass Shard,2
Hand Torch,0
Hatchet And Gun,0
Machete And Gun,0
Metal Rake,0
Motorcycle,0
Oar,0
Pepper Spray,0
Pick-Axe,2
Piece Of Wood,1
Pipe,1
Pitchfork,0
Pole,1
Rock,1
Scissors,0
Spear,0
Tire Iron,0
Vehicle,48
Air Conditioner,0
Baseball Bat And Bottle,0
Chainsaw,0
Fireworks,0
Gun And Car,2
Gun And Sword,0
Pen,0
Pole And Knife,1
Bb Gun,2
Bow And Arrow,1
Claimed To Be Armed,1
Gun And Vehicle,1
Incendiary Device,2
Pellet Gun,1
Samurai Sword,1
Vehicle And Gun,1
Air Pistol,0
Airsoft Pistol,0
Barstool,0
Baseball Bat And Knife,0
Bb Gun And Vehicle,0
"Car, Knife And Mace",0
Grenade,0
Ice Pick,0
Vehicle And Machete,0
Walking Stick,0
Wasp Spray,0
Wrench,0
