Armed,Cases
Ax,5
Baseball Bat,6
Baseball Bat And Fireplace Poker,0
Bean-Bag Gun,0
Beer Bottle,0
Blunt Object,1
Box Cutter,0
Brick,1
Carjack,0
Chain,0
Contractor'S Level,0
Cordless Drill,0
Crossbow,2
Flagpole,0
Gun,516
Gun And Knife,2
Guns And Explosives,0
Hammer,3
Hatchet,3
Knife,152
Lawn Mower Blade,0
Machete,7
Meat Cleaver,1
Metal Hand Tool,0
Metal Object,0
Metal Pipe,1
Metal Pole,1
Metal Stick,0
Nail Gun,0
Screwdriver,1
Sharp Object,0
Shovel,1
Stapler,0
Straight Edge Razor,0
Sword,2
Taser,3
Toy Weapon,44
Unarmed,51
Undetermined,57
Unknown Weapon,7
Baton,2
Bayonet,1
Chain Saw,2
Chair,1
Crowbar,1
Flashlight,1
Garden Tool,1
Glass Shard,1
Hand Torch,1
Hatchet And Gun,1
Machete And Gun,1
Metal Rake,1
Motorcycle,1
Oar,1
Pepper Spray,1
Pick-Axe,1
Piece Of Wood,1
Pipe,1
Pitchfork,1
Pole,1
Rock,2
Scissors,3
Spear,1
Tire Iron,1
Vehicle,3
Air Conditioner,0
Baseball Bat And Bottle,0
Chainsaw,0
Fireworks,0
Gun And Car,0
Gun And Sword,0
Pen,0
Pole And Knife,0
Bb Gun,0
Bow And Arrow,0
Claimed To Be Armed,0
Gun And Vehicle,0
Incendiary Device,0
Pellet Gun,0
Samurai Sword,0
Vehicle And Gun,0
Air Pistol,0
Airsoft Pistol,0
Barstool,0
Baseball Bat And Knife,0
Bb Gun And Vehicle,0
"Car, Knife And Mace",0
Grenade,0
Ice Pick,0
Vehicle And Machete,0
Walking Stick,0
Wasp Spray,0
Wrench,0
